npmPackageName,slug,repoArchived,READMEKeyword,READMEBadge,activityBasedAbandoned,maxNumDownloads,isAbandoned,numStars
jquery.json-viewer,abodelot/jquery.json-viewer,0,0,0,0,10989,0,408
sticky-sidebar,abouolia/sticky-sidebar,0,0,0,1,38104,1,2209
ember-drag-drop-polyfill,aboveproperty/ember-drag-drop-polyfill,0,0,0,0,26392,0,3
cypress-file-upload,abramenal/cypress-file-upload,0,0,0,0,1266928,0,497
cypress-shadow-dom,abramenal/cypress-shadow-dom,0,1,0,0,34920,1,49
react-sweet-progress,abraztsov/react-sweet-progress,0,0,0,1,62557,1,251
amqp-ts,abreits/amqp-ts,0,0,0,0,19565,0,130
datejs,abritinthebay/datejs,0,0,0,0,68207,0,355
jest-tobetype,abritinthebay/jest-tobetype,0,0,0,0,15357,0,29
semaphore,abrkn/semaphore.js,0,0,0,0,725569,0,113
cronli5,abroz/cronli5,0,1,0,0,41925,0,3
@absaoss/node-vcx-wrapper,AbsaOSS/libvcx,0,0,0,0,13353,0,116
ember-watson,abuiles/ember-watson,0,0,0,0,107682,0,307
gatsby-plugin-load-script,abumalick/gatsby-plugin-load-script,1,0,0,0,81674,0,16
react-semantic-toasts,academia-de-codigo/react-semantic-alert,0,0,0,0,37465,0,87
ripgrep-bin,acalix/ripgrep-bin,0,0,0,0,38356,0,1
generatorics,acarl005/generatorics,0,0,0,1,21518,1,90
useful-tools,AcarSY/useful-tools,0,0,NA,0,26877,0,0
sfpowerkit,accenture/sfpowerkit,0,1,0,0,27808,0,391
@accessible/button,accessible-ui/button,0,0,0,0,12613,0,1
@accessible/use-conditional-focus,accessible-ui/use-conditional-focus,0,0,0,0,12576,0,1
@accessible/use-keycode,accessible-ui/use-keycode,0,0,0,0,12365,0,5
change-emitter,acdlite/change-emitter,0,0,0,0,5819889,0,57
flummox,acdlite/flummox,0,0,0,1,29513,1,1691
json-sass-vars,acdlite/json-sass,0,0,0,0,20759,0,94
react-remarkable,acdlite/react-remarkable,0,0,0,0,74740,0,450
recompose,acdlite/recompose,1,0,0,0,7604463,0,14783
redux-router,acdlite/redux-router,0,0,0,0,182437,0,2306
